City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,ozarow mazowiecki,52.2104,20.7972,20.48,76,0,2.57,PL,Jun 24 2023
76,turkmenbasy,40.0222,52.9552,21.43,40,0,5.14,TM,Jun 24 2023
77,ust-nera,64.5667,143.2,26.19,40,50,2.97,RU,Jun 24 2023
78,rabo de peixe,37.8,-25.5833,19.73,83,20,4.12,PT,Jun 24 2023
79,bredasdorp,-34.5322,20.0403,12.11,92,100,4.66,ZA,Jun 24 2023
80,northam,51.0333,-4.2167,19.66,82,8,4.68,GB,Jun 24 2023
81,olonkinbyen,70.9221,-8.7187,5.74,98,63,5.12,SJ,Jun 24 2023
82,zeya,53.75,127.2667,12.49,86,2,0.6,RU,Jun 24 2023
83,ancud,-41.8697,-73.8203,9.46,85,46,1.88,CL,Jun 24 2023
84,kantunilkin,21.0917,-87.45,33.07,51,100,2.88,MX,Jun 24 2023
85,keflavik,64.0049,-22.5624,12.95,100,100,3.09,IS,Jun 24 2023
86,howard springs,-12.497,131.047,22.95,88,10,2.28,AU,Jun 24 2023
87,kingston,17.997,-76.7936,30.67,75,75,2.06,JM,Jun 24 2023
88,aripuana,-9.1667,-60.6333,30.6,47,98,0.73,BR,Jun 24 2023
89,hamilton,39.1834,-84.5333,30.47,52,100,4.63,US,Jun 24 2023
90,saint-christol-les-ales,44.0833,4.0833,23.73,59,0,1.83,FR,Jun 24 2023
91,avarua,-21.2078,-159.775,20.03,94,40,5.66,CK,Jun 24 2023
92,pisco,-13.7,-76.2167,23.03,56,0,3.09,PE,Jun 24 2023
93,porto cristo,39.5395,3.333,25.18,68,0,1.53,ES,Jun 24 2023
94,afaahiti,-17.75,-149.2833,27.93,83,66,7.01,PF,Jun 24 2023
95,sao joao da barra,-21.6403,-41.0511,24.05,87,100,5.06,BR,Jun 24 2023
96,corner brook,48.9667,-57.9484,23.09,63,81,3.71,CA,Jun 24 2023
97,souillac,-20.5167,57.5167,20.0,80,82,0.27,MU,Jun 24 2023
98,uturoa,-16.7333,-151.4333,27.19,76,23,5.13,PF,Jun 24 2023
99,alofi,-19.0595,-169.9187,22.94,88,40,0.51,NU,Jun 24 2023
100,salalah,17.0151,54.0924,29.05,89,75,1.54,OM,Jun 24 2023
101,murzuq,25.9155,13.9184,29.09,19,0,4.23,LY,Jun 24 2023
102,noosa heads,-26.3833,153.15,13.52,75,30,2.74,AU,Jun 24 2023
103,georgetown,5.4112,100.3354,27.96,87,20,1.03,MY,Jun 24 2023
104,talnakh,69.4865,88.3972,8.45,93,100,2.29,RU,Jun 24 2023
105,dunedin,-45.8742,170.5036,9.89,89,100,1.6,NZ,Jun 24 2023
106,fort william,56.8165,-5.1121,17.95,94,41,2.18,GB,Jun 24 2023
107,ulsteinvik,62.3432,5.8487,16.66,72,100,0.89,NO,Jun 24 2023
108,luderitz,-26.6481,15.1594,13.68,88,0,3.8,NA,Jun 24 2023
109,jiwani,25.05,61.7417,29.19,76,96,4.58,PK,Jun 24 2023
110,gulf shores,30.246,-87.7008,33.1,62,0,5.14,US,Jun 24 2023
111,ribeira grande,38.5167,-28.7,21.22,78,40,4.63,PT,Jun 24 2023
112,labrador city,52.9463,-66.9114,21.95,37,75,5.14,CA,Jun 24 2023
113,vilyuchinsk,52.9306,158.4028,15.15,82,97,0.83,RU,Jun 24 2023
114,bamboo flat,11.7,92.7167,28.05,83,40,2.06,IN,Jun 24 2023
115,mildura,-34.2,142.15,7.26,65,0,7.55,AU,Jun 24 2023
116,kayangel,8.0823,134.7173,28.06,75,59,5.0,PW,Jun 24 2023
117,chul'man,56.8479,124.9104,12.3,76,40,1.03,RU,Jun 24 2023
118,hawaiian paradise park,19.5933,-154.9731,26.73,73,75,4.12,US,Jun 24 2023
119,reggane,26.7158,0.1714,36.61,8,0,4.77,DZ,Jun 24 2023
120,susuman,62.7833,148.1667,25.66,35,31,1.38,RU,Jun 24 2023
121,west island,-12.1568,96.8225,25.99,78,75,3.6,CC,Jun 24 2023
122,palo negro,10.1739,-67.5419,29.94,80,100,2.53,VE,Jun 24 2023
123,anadyr,64.75,177.4833,10.28,76,100,3.0,RU,Jun 24 2023
124,fort st. john,56.2499,-120.8529,24.94,38,75,0.0,CA,Jun 24 2023
125,port elizabeth,-33.918,25.5701,15.16,92,100,3.6,ZA,Jun 24 2023
126,yeniseysk,58.4497,92.1703,10.39,67,100,1.48,RU,Jun 24 2023
127,tralee,52.2704,-9.7026,17.43,74,48,6.39,IE,Jun 24 2023
128,teguise,29.0605,-13.564,22.12,69,20,5.66,ES,Jun 24 2023
129,cabo san lucas,22.8909,-109.9124,33.12,74,0,4.12,MX,Jun 24 2023
130,novo aripuana,-5.1206,-60.3797,28.29,74,100,0.76,BR,Jun 24 2023
131,caernarfon,53.1413,-4.2702,19.87,51,100,3.6,GB,Jun 24 2023
132,lazaro cardenas,17.9583,-102.2,30.85,63,86,5.15,MX,Jun 24 2023
133,invercargill,-46.4,168.35,7.92,86,100,1.4,NZ,Jun 24 2023
134,kremenchuk,49.0973,33.4197,19.65,93,98,0.97,UA,Jun 24 2023
135,la passe,45.5549,-0.8967,25.13,68,28,3.46,FR,Jun 24 2023
136,bubaque,11.2833,-15.8333,27.36,84,82,5.99,GW,Jun 24 2023
137,bodo,67.28,14.405,10.02,94,75,2.06,NO,Jun 24 2023
138,barra de santo antonio,-9.4047,-35.5072,23.6,85,2,6.65,BR,Jun 24 2023
139,macapa,0.0389,-51.0664,25.99,94,20,4.12,BR,Jun 24 2023
140,zyryanovsk,49.7386,84.2719,7.8,91,14,0.66,KZ,Jun 24 2023
141,chimoio,-19.1164,33.4833,11.38,93,0,0.9,MZ,Jun 24 2023
142,jinchang,38.4953,102.1739,19.13,42,63,2.8,CN,Jun 24 2023
143,denison,33.7557,-96.5367,35.9,60,0,5.81,US,Jun 24 2023
144,blackfoot,43.1905,-112.345,24.08,30,39,2.25,US,Jun 24 2023
145,egilsstadir,65.2653,-14.3948,13.95,77,75,6.69,IS,Jun 24 2023
146,belokurikha,51.9959,84.9896,9.79,91,93,1.49,RU,Jun 24 2023
147,rockland,41.1668,-74.0496,27.46,79,97,1.85,US,Jun 24 2023
148,menongue,-14.6585,17.691,11.62,41,0,2.03,AO,Jun 24 2023
149,lebu,-37.6167,-73.65,12.36,95,100,1.49,CL,Jun 24 2023
150,bafoulabe,13.8065,-10.8321,29.97,57,71,6.51,ML,Jun 24 2023
151,ketchikan,55.3422,-131.6461,16.99,77,100,2.01,US,Jun 24 2023
152,la carolina,38.2756,-3.6153,28.8,26,0,1.26,ES,Jun 24 2023
153,yashkul',46.1711,45.3435,24.22,46,44,4.95,RU,Jun 24 2023
154,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,5.14,EC,Jun 24 2023
155,port hedland,-20.3167,118.5667,9.03,93,0,2.57,AU,Jun 24 2023
156,kununurra,-15.7667,128.7333,17.99,94,78,1.54,AU,Jun 24 2023
157,oamaru,-45.0784,170.9801,9.75,89,100,2.29,NZ,Jun 24 2023
158,vadso,70.0744,29.7487,13.49,90,100,4.63,NO,Jun 24 2023
159,stanley,54.868,-1.6985,20.4,79,0,1.03,GB,Jun 24 2023
160,yunyang,33.4474,112.7142,23.29,69,100,0.99,CN,Jun 24 2023
161,jaru,-10.4389,-62.4664,27.89,70,100,0.86,BR,Jun 24 2023
162,arraial do cabo,-22.9661,-42.0278,22.98,78,0,2.57,BR,Jun 24 2023
163,lysianka,49.2523,30.8295,19.29,95,98,1.69,UA,Jun 24 2023
164,preobrazheniye,42.9019,133.9064,16.09,84,28,3.12,RU,Jun 24 2023
165,broken hill,-31.95,141.4333,5.79,52,0,6.94,AU,Jun 24 2023
166,sabzevar,36.2126,57.6819,28.03,21,92,6.45,IR,Jun 24 2023
167,qaqortoq,60.7167,-46.0333,5.68,77,7,2.83,GL,Jun 24 2023
168,sandnessjoen,66.0217,12.6316,11.29,72,0,2.23,NO,Jun 24 2023
169,ad dabbah,18.05,30.95,32.65,12,21,4.73,SD,Jun 24 2023
170,freetown,8.484,-13.2299,26.15,83,98,2.83,SL,Jun 24 2023
171,tolanaro,-25.0319,46.9987,16.04,82,40,1.03,MG,Jun 24 2023
172,lihue,21.9789,-159.3672,28.77,68,100,7.72,US,Jun 24 2023
173,port mathurin,-19.6833,63.4167,22.76,67,25,5.17,MU,Jun 24 2023
174,upington,-28.4478,21.2561,15.94,30,0,5.7,ZA,Jun 24 2023
175,zaozersk,69.4005,32.4476,14.96,63,96,1.48,RU,Jun 24 2023
176,marsh harbour,26.5412,-77.0636,28.23,77,88,5.68,BS,Jun 24 2023
177,udachny,66.4167,112.4,14.14,54,99,3.0,RU,Jun 24 2023
178,east london,-33.0153,27.9116,15.45,79,1,3.19,ZA,Jun 24 2023
179,zheleznogorsk,52.331,35.3711,15.45,89,25,2.82,RU,Jun 24 2023
180,vanersborg,58.3807,12.3234,18.97,77,40,3.09,SE,Jun 24 2023
181,isla mujeres,21.2311,-86.731,28.03,76,100,4.4,MX,Jun 24 2023
182,minas de marcona,-15.2119,-75.1103,17.91,62,1,3.75,PE,Jun 24 2023
183,inhambane,-23.865,35.3833,18.39,79,0,2.84,MZ,Jun 24 2023
184,mariehamn,60.0973,19.9348,16.01,87,0,1.03,AX,Jun 24 2023
185,urucara,-2.5364,-57.76,28.93,66,84,1.27,BR,Jun 24 2023
186,santiago del estero,-27.7951,-64.2615,25.52,54,0,1.75,AR,Jun 24 2023
187,xinyuan,37.3,99.0,4.13,81,19,1.17,CN,Jun 24 2023
188,namtsy,62.7161,129.6658,21.53,66,55,0.66,RU,Jun 24 2023
189,tiksi,71.6872,128.8694,15.03,65,22,3.79,RU,Jun 24 2023
190,jamestown,42.097,-79.2353,23.8,68,100,3.6,US,Jun 24 2023
191,sao tome,0.3365,6.7273,24.25,75,64,4.1,ST,Jun 24 2023
192,sterling,39.0062,-77.4286,31.32,64,75,5.66,US,Jun 24 2023
193,port lincoln,-34.7333,135.8667,13.18,68,82,10.43,AU,Jun 24 2023
194,campbellton,48.0075,-66.6727,29.25,48,97,3.01,CA,Jun 24 2023
195,new norfolk,-42.7826,147.0587,6.07,84,99,1.42,AU,Jun 24 2023
196,lospalos,-8.5186,127.0025,21.2,94,56,1.93,TL,Jun 24 2023
197,boa vista,2.8197,-60.6733,31.99,55,40,3.6,BR,Jun 24 2023
198,dalian,38.9122,121.6022,20.96,88,40,3.0,CN,Jun 24 2023
199,rongelap,11.1635,166.8941,27.84,79,65,8.6,MH,Jun 24 2023
200,whitehorse,60.7161,-135.0538,23.9,37,75,4.12,CA,Jun 24 2023
201,vihti,60.417,24.3197,17.05,73,38,2.68,FI,Jun 24 2023
202,carnarvon,-24.8667,113.6333,14.55,52,15,3.86,AU,Jun 24 2023
203,shiqian,27.5225,108.2281,20.62,94,83,0.27,CN,Jun 24 2023
204,ylitornio,66.3089,23.6773,13.58,97,11,0.99,FI,Jun 24 2023
205,praia da vitoria,38.7333,-27.0667,23.14,73,40,3.43,PT,Jun 24 2023
206,gorontalo,0.5412,123.0595,23.67,95,99,0.97,ID,Jun 24 2023
207,kyzyl-suu,42.3414,78.0056,13.92,50,0,2.77,KG,Jun 24 2023
208,timimoun,29.2639,0.231,37.21,11,0,6.17,DZ,Jun 24 2023
209,labuan bajo,-8.4964,119.8877,24.13,81,100,1.63,ID,Jun 24 2023
210,tekirova,36.5017,30.5272,24.43,46,0,2.78,TR,Jun 24 2023
211,cole harbour,44.6724,-63.4751,27.66,81,99,8.23,CA,Jun 24 2023
212,suva,-18.1416,178.4415,19.71,83,40,2.06,FJ,Jun 24 2023
213,quelimane,-17.8786,36.8883,18.97,93,40,2.24,MZ,Jun 24 2023
214,pemangkat,1.1667,108.9667,25.36,88,52,2.28,ID,Jun 24 2023
215,enewetak,11.3474,162.3373,27.87,79,82,8.08,MH,Jun 24 2023
216,frenda,35.0654,1.0495,26.43,38,0,3.2,DZ,Jun 24 2023
217,mount isa,-20.7333,139.5,10.87,82,54,0.0,AU,Jun 24 2023
218,atafu village,-8.5421,-172.5159,28.51,69,70,6.91,TK,Jun 24 2023
219,constantia,44.1833,28.65,20.39,77,0,5.05,RO,Jun 24 2023
220,calafat,43.9911,22.9328,21.1,91,100,3.71,RO,Jun 24 2023
221,kapuskasing,49.4169,-82.4331,23.05,49,100,3.09,CA,Jun 24 2023
222,alenquer,-1.9417,-54.7383,29.31,63,20,1.48,BR,Jun 24 2023
223,nova vicosa,-17.8919,-39.3719,22.74,78,99,3.56,BR,Jun 24 2023
